reg,opus,epoch,val_loss,val_acc,loss,acc
0.001,127,1,9255.162363331132,278.3787330316742,8931.574023457131,274.7159648957695
0.001,127,2,9277.140278208633,278.3787330316742,8902.454390641122,281.3283841820085
0.001,127,3,9249.025170289553,278.3787330316742,8849.514643031798,279.52499710778227
0.001,127,4,9274.599519176396,278.3787330316742,8828.736353807428,281.5860109036075
0.001,127,5,9241.846786889124,278.3787330316742,8822.352879511629,281.5001353284615
0.001,130,0,9356.556221417019,378.6830357142857,10564.698005460876,292.8365027927073
0.001,130,1,9235.201927593778,378.6830357142857,10061.637291137307,300.8580967628568
0.001,130,2,9214.355561562947,378.6830357142857,9981.856421416232,308.00987934001483
0.001,130,3,9236.864751577377,378.6830357142857,9954.014016461117,307.2367136567957
0.001,130,4,9199.72202692713,378.6830357142857,9932.4607469019,309.0729821554313
0.001,130,5,9207.60494726045,378.6830357142857,9932.988318818036,305.4004451559999
0.001,131,0,10259.622170419178,337.4471417683802,10913.155070763169,306.3646694619696
0.001,131,1,10220.94886511494,337.4471417683802,10375.732475280285,319.23037737636855
0.001,131,2,10198.046349297301,337.4471417683802,10288.886277263662,323.0498844051011
0.001,131,3,10137.095045463686,337.4471417683802,10257.350653844254,323.2509110910998
0.001,131,4,10127.908419432264,337.4471417683802,10240.791211549733,326.26631138033093
0.001,131,5,10310.488416842398,337.4471417683802,11293.027541768499,324.35655786409245
0.001,132,0,10933.466629486275,277.25247548702527,10220.1830041297,294.9645210410317
0.001,132,1,10944.123290969988,138.62623762376236,9708.899835946013,307.2111973247074
0.001,132,2,10922.591225479302,277.25247548702527,9687.394837312677,310.0592615696518
0.001,132,3,10934.946301967006,277.25247548702527,9602.959352395535,311.38835822200804
0.001,132,4,10985.467873422229,277.25247548702527,9587.291335544325,312.05290654641783
0.001,132,5,10975.177766513507,277.25247548702527,9591.798325689444,313.8566805730493
0.001,135,0,6385.784458394219,236.7198934261591,6393.635209043753,177.15566428387504
0.001,135,1,6303.848111041609,236.7198934261591,6091.40770142318,183.19570944844264
0.001,135,2,6356.709936765695,236.7198934261591,6050.448402629043,186.10176891230714
0.001,135,3,6375.50543979415,236.7198934261591,6031.419507807415,186.10176891230714
0.001,135,4,6346.330834833527,236.7198934261591,6026.297691122786,187.92517877475046
0.001,135,5,6372.632633880863,236.7198934261591,6019.863424975324,187.18441851797368
0.001,18,0,33325.76892322303,1217.5756861970385,36930.7328330146,967.8819444444445
